Time,Direction,Data
16:07:51.171,RX,"1.546"
16:07:51.183,RX,"1.841"
16:07:51.195,RX,"2.130"
16:07:51.207,RX,"2.409"
16:07:51.218,RX,"2.680"
16:07:51.230,RX,"2.939"
16:07:51.242,RX,"3.188
3.423"
16:07:51.250,RX,"3.645"
16:07:51.263,RX,"3.853"
16:07:51.274,RX,"4.046"
16:07:51.286,RX,"4.222"
16:07:51.296,RX,"4.382"
16:07:51.307,RX,"4.524"
16:07:51.318,RX,"4.649"
16:07:51.332,RX,"4.756
4.843"
16:07:51.341,RX,"4.912"
16:07:51.353,RX,"4.961"
16:07:51.364,RX,"4.990"
16:07:51.376,RX,"5.000"
16:07:51.388,RX,"4.990"
16:07:51.399,RX,"4.960"
16:07:51.410,RX,"4.911"
16:07:51.421,RX,"4.843
4.755"
16:07:51.430,RX,"4.649"
16:07:51.444,RX,"4.524"
16:07:51.455,RX,"4.381"
16:07:51.466,RX,"4.221"
16:07:51.478,RX,"4.045"
16:07:51.490,RX,"3.852"
16:07:51.500,RX,"3.644"
16:07:51.510,RX,"3.422
3.187"
16:07:51.521,RX,"2.938"
16:07:51.535,RX,"2.679"
16:07:51.547,RX,"2.408"
16:07:51.558,RX,"2.128"
16:07:51.570,RX,"1.840"
16:07:51.582,RX,"1.544
1.243"
16:07:51.590,RX,"0.936"
16:07:51.603,RX,"0.626"
16:07:51.616,RX,"0.313"
16:07:51.629,RX,"-0.001"
16:07:51.641,RX,"-0.315
-0.627"
16:07:51.652,RX,"-0.938"
16:07:51.664,RX,"-1.244"
16:07:51.675,RX,"-1.546"
16:07:51.686,RX,"-1.841"
16:07:51.696,RX,"-2.130"
16:07:51.707,RX,"-2.409"
16:07:51.718,RX,"-2.680"
16:07:51.730,RX,"-2.940"
16:07:51.743,RX,"-3.188
-3.423"
16:07:51.751,RX,"-3.645"
16:07:51.762,RX,"-3.853"
16:07:51.772,RX,"-4.046"
16:07:51.783,RX,"-4.222"
16:07:51.794,RX,"-4.382"
16:07:51.807,RX,"-4.524"
16:07:51.816,RX,"-4.649"
16:07:51.828,RX,"-4.756"
16:07:51.841,RX,"-4.843
-4.912"
16:07:51.850,RX,"-4.961"
16:07:51.862,RX,"-4.990"
16:07:51.874,RX,"-5.000"
16:07:51.885,RX,"-4.990"
16:07:51.897,RX,"-4.960"
16:07:51.910,RX,"-4.911"
16:07:51.921,RX,"-4.843
-4.755"
